feature,mean_abs_shap,mean_shap,std_shap
worst concave points,0.5452653891674313,-0.007649922109818866,0.600717874183476
worst area,0.38035750549414676,-0.00805080352417472,0.4167570823591726
mean concave points,0.36132836344046565,-0.022638867741205583,0.3813017728083385
worst perimeter,0.282885993261931,0.002388837671314715,0.3116832075398604
worst radius,0.2771496789493684,-0.0049014715231375855,0.3061349052871677
worst texture,0.19794806624982014,-0.015458298094027599,0.2240461327915759
mean texture,0.15555531499187944,-0.02258978430279894,0.17331667476394202
worst concavity,0.15397678836418138,-0.0035744755844396756,0.16082599874477918
area error,0.09028747886256548,-0.005866258683242197,0.09649773468456103
mean concavity,0.08838286514019458,0.005452152085279246,0.09554774308152847
mean radius,0.07552724793362517,0.0020969042785995867,0.08830689695195787
mean area,0.06456921965499413,0.0031551465182572984,0.07354891801431843
radius error,0.06161865929914829,-0.0073044404835634485,0.07271453775795222
worst symmetry,0.06102431610059808,0.0017076364761658242,0.08278204720077184
mean perimeter,0.030798113183111358,0.0009865156880122538,0.03531818272705556
perimeter error,0.024466424286893006,-0.0023653378290427025,0.03011048166650929
worst smoothness,0.019719100536818735,-0.0035401474014955738,0.022319335572239016
worst compactness,0.016585103956909115,-6.51071160925334e-05,0.023119786142346756
mean smoothness,0.01626111517479453,-0.005328433065469337,0.018305339401523794
concavity error,0.014100474291193954,0.0008280396510719066,0.017014284100473627
mean compactness,0.011042074256216295,-0.000875932257440234,0.012742806166802555
symmetry error,0.009778364763874203,6.357664883178102e-05,0.011543036350886273
worst fractal dimension,0.00949467519063234,0.0007072032768209622,0.010396107494116754
mean symmetry,0.007004964125522581,-0.0005606017067748015,0.010303359446044371
mean fractal dimension,0.005369561975822761,-0.00037358446429663314,0.006897062682149941
concave points error,0.004931021193907333,0.0015843577872857422,0.006970769915310726
fractal dimension error,0.004705362176026707,-1.7704358851392296e-06,0.006799422122360121
smoothness error,0.00405311687874188,-8.228876782329066e-05,0.004984086812448419
compactness error,0.002609100054251182,0.0008041930928876785,0.004923613926895809
texture error,0.001314180524494308,-0.00036661410129918185,0.0017838486317519242
